Crop,Current_N,Current_P,Current_K,Required_N,Required_P,Required_K
Soyabean,5,69,24,15,11,16
Gram,20,9,20,0,51,0
Soyabean,18,49,18,2,31,22
Maize,14,71,47,136,4,3
Groundnut,7,70,20,18,0,20
Gram,2,22,7,18,38,13
Lentil,21,11,13,0,49,7
Sugarcane,306,19,86,0,66,0
Soyabean,19,43,24,1,37,16
Soyabean,21,52,53,0,28,0
Wheat,117,88,19,3,0,21
Arhar/Tur,8,29,26,12,51,14
Arhar/Tur,4,34,59,16,46,0
Groundnut,22,10,37,3,50,3
Groundnut,4,69,30,21,0,10
Maize,104,30,28,46,45,22
Maize,159,72,70,0,3,0
Cotton,21,30,86,99,30,0
Mustard,35,56,38,45,0,2
Soyabean,25,95,37,0,0,3
Soyabean,24,79,33,0,1,7
Potato,191,0,1,0,80,119
Mustard,45,1,33,35,39,7
Potato,17,55,54,133,25,66
Arhar/Tur,20,101,56,0,0,0
Sugarcane,23,91,51,252,0,9
Sugarcane,365,124,25,0,0,35
Wheat,24,33,4,96,27,36
Mustard,10,12,16,70,28,24
Groundnut,8,82,3,17,0,37
Arhar/Tur,8,70,21,12,10,19
Cotton,106,79,63,14,0,0
Sugarcane,259,37,22,16,48,38
Potato,194,48,157,0,32,0
Maize,197,39,46,0,36,4
Mustard,90,7,51,0,33,0
Maize,91,37,64,59,38,0
Mustard,81,55,32,0,0,8
Soyabean,0,106,25,20,0,15
Cotton,164,82,67,0,0,0
Gram,3,36,19,17,24,1
Maize,195,19,0,0,56,50
Arhar/Tur,14,96,59,6,0,0
Paddy,72,35,25,48,25,35
Groundnut,35,19,35,0,41,5
Wheat,109,25,38,11,35,2
Sugarcane,162,49,73,113,36,0
Potato,154,81,2,0,0,118
Sugarcane,10,25,15,265,60,45
Gram,0,20,27,20,40,0
Potato,25,27,89,125,53,31
Sugarcane,393,12,79,0,73,0
Mustard,13,34,10,67,6,30
Arhar/Tur,26,18,7,0,62,33
Paddy,94,67,50,26,0,10
Cotton,31,72,82,89,0,0
Paddy,74,43,40,46,17,20
Soyabean,17,28,19,3,52,21
Mustard,94,59,34,0,0,6
Mustard,5,19,20,75,21,20
Arhar/Tur,15,70,37,5,10,3
Potato,210,2,59,0,78,61
Arhar/Tur,18,106,28,2,0,12
Sugarcane,212,94,68,63,0,0
Mustard,12,28,10,68,12,30
Maize,36,81,35,114,0,15
Arhar/Tur,17,119,56,3,0,0
Groundnut,21,46,32,4,14,8
Potato,51,89,108,99,0,12
Soyabean,22,39,14,0,41,26
Mustard,34,48,55,46,0,0
Wheat,169,79,11,0,0,29
Maize,90,59,10,60,16,40
Arhar/Tur,19,48,59,1,32,0
Groundnut,26,7,3,0,53,37
Lentil,4,40,14,16,20,6
Gram,20,16,17,0,44,3
Maize,62,63,73,88,12,0
Lentil,22,43,29,0,17,0
Paddy,10,81,82,110,0,0
Lentil,4,22,7,16,38,13
Groundnut,32,70,19,0,0,21
Mustard,1,41,51,79,0,0
Cotton,100,16,85,20,44,0
Gram,24,77,27,0,0,0
Maize,121,108,20,29,0,30
Paddy,140,36,68,0,24,0
Mustard,73,54,37,7,0,3
Sugarcane,33,103,14,242,0,46
Paddy,54,47,59,66,13,1
Lentil,23,42,0,0,18,20
Cotton,82,0,55,38,60,5
Groundnut,4,73,9,21,0,31
Lentil,14,56,20,6,4,0
Gram,11,32,7,9,28,13
Groundnut,20,81,16,5,0,24
Sugarcane,76,26,20,199,59,40
Groundnut,28,26,13,0,34,27
Arhar/Tur,16,30,41,4,50,0
Gram,2,75,1,18,0,19
Sugarcane,234,91,77,41,0,0
Soyabean,4,16,2,16,64,38
Groundnut,24,87,14,1,0,26
Wheat,159,61,0,0,0,40
Cotton,35,23,36,85,37,24
Sugarcane,301,81,22,0,4,38
Potato,25,11,38,125,69,82
Wheat,64,45,35,56,15,5
Cotton,2,27,25,118,33,35
Soyabean,18,57,41,2,23,0
Soyabean,2,118,37,18,0,3
Lentil,27,56,16,0,4,4
Soyabean,10,117,30,10,0,10
Arhar/Tur,28,100,21,0,0,19
Sugarcane,94,64,31,181,21,29
Sugarcane,173,75,3,102,10,57
Cotton,133,36,21,0,24,39
Groundnut,29,27,14,0,33,26
Potato,137,30,151,13,50,0
Groundnut,23,42,4,2,18,36
Mustard,76,50,31,4,0,9
Lentil,11,18,5,9,42,15
Groundnut,8,61,34,17,0,6
Lentil,3,87,21,17,0,0
Paddy,29,34,47,91,26,13
Groundnut,10,48,54,15,12,0
Mustard,79,11,36,1,29,4
Groundnut,5,87,37,20,0,3
Paddy,118,79,7,2,0,53
Wheat,125,53,24,0,7,16
Mustard,117,23,47,0,17,0
Soyabean,10,38,22,10,42,18
Mustard,63,55,58,17,0,0
Potato,21,109,135,129,0,0
Arhar/Tur,14,26,39,6,54,1
Potato,79,70,65,71,10,55
Paddy,40,11,52,80,49,8
Cotton,108,24,7,12,36,53
Mustard,108,31,7,0,9,33
Gram,6,58,27,14,2,0
Arhar/Tur,20,63,49,0,17,0
Sugarcane,169,70,52,106,15,8
Potato,9,11,54,141,69,66
Paddy,36,37,43,84,23,17
Sugarcane,85,116,11,190,0,49
Sugarcane,266,115,41,9,0,19
Maize,125,43,5,25,32,45
Arhar/Tur,17,64,10,3,16,30
Soyabean,3,38,9,17,42,31
Gram,17,76,17,3,0,3
Potato,14,58,11,136,22,109
Arhar/Tur,16,94,46,4,0,0
Cotton,154,21,59,0,39,1
Paddy,60,51,14,60,9,46
Potato,66,24,151,84,56,0
Gram,4,66,27,16,0,0
Arhar/Tur,1,45,41,19,35,0
Arhar/Tur,13,49,7,7,31,33
Cotton,48,43,42,72,17,18
Lentil,25,6,25,0,54,0
Sugarcane,137,25,66,138,60,0
Potato,59,73,78,91,7,42
Paddy,28,19,24,92,41,36
Soyabean,6,67,50,14,13,0
Potato,125,29,10,25,51,110
Potato,36,28,163,114,52,0
Soyabean,1,89,9,19,0,31
Mustard,100,59,46,0,0,0
Arhar/Tur,27,113,1,0,0,39
Groundnut,26,31,56,0,29,0
Paddy,55,30,10,65,30,50
Paddy,91,58,56,29,2,4
Soyabean,6,65,37,14,15,3
Groundnut,11,28,14,14,32,26
Paddy,148,52,70,0,8,0
Cotton,153,2,61,0,58,0
Soyabean,5,111,44,15,0,0
Soyabean,14,118,20,6,0,20
Soyabean,24,119,23,0,0,17
Mustard,5,42,40,75,0,0
Wheat,94,22,17,26,38,23
Arhar/Tur,21,97,40,0,0,0
Maize,63,47,2,87,28,48
Soyabean,5,42,44,15,38,0
Sugarcane,374,83,33,0,2,27
Groundnut,2,65,52,23,0,0
Cotton,14,45,48,106,15,12
Sugarcane,410,7,69,0,78,0
Cotton,178,19,47,0,41,13
Paddy,93,46,18,27,14,42
Groundnut,10,61,4,15,0,36
Arhar/Tur,1,101,52,19,0,0
Wheat,177,83,32,0,0,8
Wheat,169,55,53,0,5,0
Mustard,70,8,46,10,32,0
Groundnut,13,49,22,12,11,18
Wheat,84,55,24,36,5,16
Soyabean,12,115,6,8,0,34
Wheat,92,55,27,28,5,13
Potato,146,3,17,4,77,103
Gram,8,15,14,12,45,6
Mustard,15,17,50,65,23,0
Sugarcane,386,18,11,0,67,49
Maize,132,23,19,18,52,31
Mustard,22,33,55,58,7,0
Arhar/Tur,19,17,57,1,63,0
Lentil,15,22,11,5,38,9
Lentil,18,24,14,2,36,6
Wheat,71,75,17,49,0,23
Maize,64,81,41,86,0,9
Soyabean,4,9,51,16,71,0
Gram,1,58,22,19,2,0
Wheat,137,80,15,0,0,25
Arhar/Tur,12,47,28,8,33,12
Maize,75,103,10,75,0,40
Paddy,7,43,38,113,17,22
Maize,106,10,64,44,65,0
Lentil,5,7,11,15,53,9
Sugarcane,166,25,10,109,60,50
Lentil,1,76,28,19,0,0
Gram,11,39,24,9,21,0
Gram,12,62,10,8,0,10
Potato,106,70,113,44,10,7
Mustard,4,24,28,76,16,12
Mustard,62,11,51,18,29,0
Gram,26,25,22,0,35,0
Paddy,115,61,49,5,0,11
Maize,143,52,41,7,23,9
Lentil,6,49,10,14,11,10
Lentil,13,65,15,7,0,5
Arhar/Tur,8,62,37,12,18,3
Groundnut,36,84,58,0,0,0
Lentil,19,52,22,1,8,0
Groundnut,24,60,31,1,0,9
Wheat,77,35,58,43,25,0
Paddy,76,41,71,44,19,0
Wheat,138,62,53,0,0,0
Maize,128,76,18,22,0,32
Soyabean,6,59,23,14,21,17
Potato,57,107,5,93,0,115
Paddy,26,76,76,94,0,0
Arhar/Tur,13,92,10,7,0,30
Groundnut,22,2,29,3,58,11
Wheat,20,47,48,100,13,0
Arhar/Tur,15,45,36,5,35,4
Groundnut,2,72,26,23,0,14
Arhar/Tur,5,65,43,15,15,0
Maize,206,80,39,0,0,11
Cotton,89,12,26,31,48,34
Paddy,136,69,58,0,0,2
Gram,3,34,1,17,26,19
Mustard,113,55,24,0,0,16
Arhar/Tur,9,101,59,11,0,0
Groundnut,19,23,7,6,37,33
Arhar/Tur,26,72,51,0,8,0
Mustard,25,8,26,55,32,14
Cotton,26,0,58,94,60,2
Cotton,122,81,13,0,0,47
Cotton,15,50,54,105,10,6
Groundnut,23,71,29,2,0,11
Gram,9,88,20,11,0,0
Maize,224,84,16,0,0,34
Lentil,28,15,22,0,45,0
Maize,57,10,43,93,65,7
Groundnut,1,9,9,24,51,31
Potato,169,84,177,0,0,0
Sugarcane,120,32,52,155,53,8
Mustard,51,11,43,29,29,0
Gram,5,26,7,15,34,13
Potato,17,46,95,133,34,25
Lentil,19,56,21,1,4,0
Arhar/Tur,18,81,49,2,0,0
Soyabean,26,4,30,0,76,10
Lentil,10,15,6,10,45,14
Paddy,176,63,0,0,0,60
Wheat,54,75,16,66,0,24
Sugarcane,89,42,11,186,43,49
Arhar/Tur,7,74,16,13,6,24
Soyabean,27,68,20,0,12,20
Potato,10,99,142,140,0,0
Wheat,165,77,36,0,0,4
Sugarcane,237,96,0,38,0,60
Groundnut,24,77,31,1,0,9
Mustard,14,57,3,66,0,37
Cotton,135,85,33,0,0,27
Cotton,53,38,27,67,22,33
Lentil,28,75,18,0,0,2
Maize,4,100,28,146,0,22
Arhar/Tur,25,83,3,0,0,37
Potato,7,53,41,143,27,79
Arhar/Tur,26,30,22,0,50,18
Sugarcane,289,35,17,0,50,43
Soyabean,28,59,20,0,21,20
Soyabean,14,28,16,6,52,24
Wheat,42,8,42,78,52,0
Maize,217,9,5,0,66,45
Soyabean,22,113,55,0,0,0
Mustard,68,34,17,12,6,23
Arhar/Tur,29,94,20,0,0,20
Arhar/Tur,29,106,56,0,0,0
Soyabean,6,113,34,14,0,6
Mustard,92,46,18,0,0,22
Cotton,1,15,73,119,45,0
Potato,131,34,91,19,46,29
Gram,27,62,26,0,0,0
Maize,212,82,48,0,0,2
Arhar/Tur,11,38,29,9,42,11
Sugarcane,325,7,12,0,78,48
Cotton,60,87,27,60,0,33
Gram,2,64,1,18,0,19
Sugarcane,2,40,17,273,45,43
Lentil,28,44,15,0,16,5
Cotton,96,79,35,24,0,25
Wheat,153,11,6,0,49,34
Paddy,114,47,76,6,13,0
Mustard,31,45,3,49,0,37
Gram,22,22,8,0,38,12
Cotton,135,36,24,0,24,36
Potato,13,71,51,137,9,69
Sugarcane,86,5,37,189,80,23
Maize,116,106,46,34,0,4
Mustard,61,9,6,19,31,34
Maize,146,54,31,4,21,19
Paddy,64,16,49,56,44,11
Soyabean,5,22,35,15,58,5
Mustard,107,53,41,0,0,0
Potato,160,73,73,0,7,47
Potato,155,68,54,0,12,66
Lentil,21,86,13,0,0,7
Potato,68,59,55,82,21,65
Potato,167,28,169,0,52,0
Wheat,158,63,4,0,0,36
Cotton,80,58,89,40,2,0
Groundnut,10,64,52,15,0,0
Wheat,168,37,11,0,23,29
Groundnut,12,45,36,13,15,4
Cotton,143,4,33,0,56,27
Wheat,15,43,15,105,17,25
Soyabean,23,111,31,0,0,9
Groundnut,13,61,10,12,0,30
Maize,171,65,54,0,10,0
Arhar/Tur,26,53,49,0,27,0
Potato,2,13,137,148,67,0
Potato,161,6,176,0,74,0
Mustard,69,34,10,11,6,30
Sugarcane,302,61,0,0,24,60
Sugarcane,93,76,30,182,9,30
Paddy,94,71,20,26,0,40
Paddy,110,48,12,10,12,48
Wheat,112,67,20,8,0,20
Soyabean,5,93,13,15,0,27
Arhar/Tur,19,80,21,1,0,19
Sugarcane,308,4,1,0,81,59
Gram,14,13,24,6,47,0
Mustard,67,10,53,13,30,0
Potato,68,94,67,82,0,53
Groundnut,16,27,4,9,33,36
Soyabean,3,19,4,17,61,36
Maize,137,110,9,13,0,41
Arhar/Tur,21,38,35,0,42,5
Lentil,7,29,1,13,31,19
Potato,96,20,71,54,60,49
Potato,124,4,85,26,76,35
Cotton,144,45,76,0,15,0
Groundnut,25,59,38,0,1,2
Gram,6,73,27,14,0,0
Sugarcane,125,60,33,150,25,27
Gram,19,53,24,1,7,0
Soyabean,2,14,45,18,66,0
Wheat,20,60,35,100,0,5
Lentil,19,68,29,1,0,0
Mustard,36,23,18,44,17,22
Groundnut,10,63,27,15,0,13
Paddy,176,2,52,0,58,8
Gram,27,80,28,0,0,0
Maize,136,55,28,14,20,22
Sugarcane,184,95,55,91,0,5
Maize,203,108,36,0,0,14
Sugarcane,38,37,65,237,48,0
Maize,42,100,25,108,0,25
Lentil,9,74,8,11,0,12
Wheat,137,16,5,0,44,35
Lentil,3,76,29,17,0,0
Soyabean,3,14,8,17,66,32
Wheat,69,88,30,51,0,10
Arhar/Tur,9,13,52,11,67,0
Arhar/Tur,6,48,50,14,32,0
Arhar/Tur,12,54,24,8,26,16
Arhar/Tur,17,86,35,3,0,5
Mustard,103,14,36,0,26,4
Mustard,72,21,47,8,19,0
Arhar/Tur,8,13,1,12,67,39
Arhar/Tur,2,16,57,18,64,0
Mustard,112,39,58,0,1,0
Wheat,132,61,7,0,0,33
Gram,9,85,1,11,0,19
Maize,112,67,3,38,8,47
Mustard,85,59,16,0,0,24
Soyabean,24,107,6,0,0,34
Groundnut,4,62,59,21,0,0
Soyabean,10,90,35,10,0,5
Gram,19,59,19,1,1,1
Soyabean,25,49,47,0,31,0
Mustard,107,57,3,0,0,37
Paddy,55,45,74,65,15,0
Arhar/Tur,16,1,30,4,79,10
Sugarcane,273,48,21,2,37,39
Maize,3,18,47,147,57,3
Soyabean,29,26,17,0,54,23
Mustard,92,18,33,0,22,7
Cotton,43,75,45,77,0,15
Groundnut,17,53,12,8,7,28
Wheat,40,59,25,80,1,15
Lentil,2,59,24,18,1,0
Soyabean,17,65,2,3,15,38
Wheat,101,54,53,19,6,0
Paddy,71,87,51,49,0,9
Paddy,165,62,26,0,0,34
Sugarcane,148,95,11,127,0,49
Paddy,19,44,66,101,16,0
Gram,8,20,21,12,40,0
Groundnut,32,72,53,0,0,0
Lentil,14,33,10,6,27,10
Sugarcane,32,32,48,243,53,12
Lentil,15,4,15,5,56,5
Wheat,71,11,59,49,49,0
Gram,20,27,11,0,33,9
Wheat,133,30,33,0,30,7
Mustard,63,34,55,17,6,0
Wheat,39,47,26,81,13,14
Lentil,5,23,27,15,37,0
Wheat,124,39,25,0,21,15
Soyabean,11,49,2,9,31,38
Wheat,73,6,14,47,54,26
Sugarcane,29,96,57,246,0,3
Arhar/Tur,12,38,38,8,42,2
Arhar/Tur,26,4,52,0,76,0
Gram,13,26,20,7,34,0
Wheat,172,62,37,0,0,3
Cotton,165,38,15,0,22,45
Groundnut,13,27,4,12,33,36
Lentil,20,39,27,0,21,0
Potato,47,22,146,103,58,0
Paddy,124,17,52,0,43,8
Sugarcane,306,10,54,0,75,6
Gram,16,14,1,4,46,19
Lentil,13,87,28,7,0,0
Sugarcane,251,111,77,24,0,0
Arhar/Tur,16,36,0,4,44,40
Gram,19,5,18,1,55,2
Soyabean,5,59,43,15,21,0
Groundnut,19,46,42,6,14,0
Paddy,96,18,5,24,42,55
Wheat,150,14,55,0,46,0
Groundnut,22,79,14,3,0,26
Lentil,9,82,24,11,0,0
Groundnut,13,56,40,12,4,0
Wheat,98,74,53,22,0,0
Wheat,51,86,43,69,0,0
Potato,106,63,104,44,17,16
Lentil,16,50,8,4,10,12
Soyabean,9,16,58,11,64,0
Mustard,64,56,52,16,0,0
Paddy,142,17,23,0,43,37
Mustard,101,36,26,0,4,14
Lentil,0,0,3,20,60,17
Gram,28,38,20,0,22,0
Sugarcane,86,10,10,189,75,50
Groundnut,7,40,1,18,20,39
Sugarcane,302,34,65,0,51,0
Groundnut,9,52,40,16,8,0
Sugarcane,359,116,45,0,0,15
Cotton,161,73,55,0,0,5
Gram,10,74,22,10,0,0
Sugarcane,251,44,51,24,41,9
Wheat,59,9,13,61,51,27
Soyabean,2,115,42,18,0,0
Potato,142,98,2,8,0,118
Groundnut,12,70,50,13,0,0
Arhar/Tur,27,21,19,0,59,21
Potato,12,86,139,138,0,0
Groundnut,11,47,42,14,13,0
Groundnut,25,59,7,0,1,33
Groundnut,31,33,27,0,27,13
Groundnut,4,25,59,21,35,0
Soyabean,27,50,49,0,30,0
Sugarcane,129,56,38,146,29,22
Maize,202,86,7,0,0,43
Lentil,3,89,29,17,0,0
Groundnut,25,82,14,0,0,26
Arhar/Tur,2,78,22,18,2,18
Arhar/Tur,6,83,4,14,0,36
Lentil,14,21,2,6,39,18
Potato,25,9,142,125,71,0
Gram,29,41,0,0,19,20
Soyabean,11,108,14,9,0,26
Mustard,30,15,54,50,25,0
Lentil,0,60,13,20,0,7
Groundnut,17,32,31,8,28,9
Sugarcane,355,120,62,0,0,0
Mustard,80,53,17,0,0,23
Groundnut,23,43,36,2,17,4
Paddy,57,86,71,63,0,0
Paddy,145,11,86,0,49,0
Maize,63,22,26,87,53,24
Maize,176,54,33,0,21,17
Lentil,15,2,9,5,58,11
Maize,176,103,10,0,0,40
Mustard,49,16,27,31,24,13
Wheat,4,63,52,116,0,0
Mustard,49,15,51,31,25,0
Sugarcane,188,30,26,87,55,34
Mustard,44,59,30,36,0,10
Potato,223,110,18,0,0,102
Wheat,157,10,10,0,50,30
Groundnut,15,14,29,10,46,11
Paddy,120,60,81,0,0,0
Paddy,94,4,15,26,56,45
Groundnut,9,19,51,16,41,0
Groundnut,0,20,42,25,40,0
Paddy,122,64,53,0,0,7
Sugarcane,260,49,42,15,36,18
Wheat,129,13,40,0,47,0
Groundnut,10,46,13,15,14,27
Soyabean,18,78,33,2,2,7
Soyabean,21,111,26,0,0,14
Maize,43,42,71,107,33,0
Cotton,16,77,33,104,0,27
Cotton,43,12,66,77,48,0
Cotton,39,66,77,81,0,0
Soyabean,23,22,9,0,58,31
Mustard,109,58,18,0,0,22
Wheat,142,75,58,0,0,0
Paddy,85,15,80,35,45,0
Arhar/Tur,24,108,20,0,0,20
Arhar/Tur,23,60,13,0,20,27
Sugarcane,143,1,88,132,84,0
Groundnut,27,39,10,0,21,30
Wheat,22,65,3,98,0,37
Sugarcane,78,5,43,197,80,17
Cotton,135,23,5,0,37,55
Paddy,35,27,54,85,33,6
Lentil,2,66,28,18,0,0
Arhar/Tur,13,89,25,7,0,15
Wheat,82,14,35,38,46,5
Cotton,131,34,42,0,26,18
Mustard,34,49,9,46,0,31
Soyabean,28,105,35,0,0,5
Mustard,23,37,45,57,3,0
Maize,40,70,63,110,5,0
Maize,64,55,4,86,20,46
Paddy,39,41,60,81,19,0
Mustard,96,27,51,0,13,0
Groundnut,6,59,4,19,1,36
Maize,92,72,31,58,3,19
Groundnut,31,11,34,0,49,6
Maize,79,29,34,71,46,16
Sugarcane,249,57,28,26,28,32
Groundnut,22,0,41,3,60,0
Arhar/Tur,1,71,9,19,9,31
Gram,1,75,26,19,0,0
Gram,1,88,15,19,0,5
Cotton,76,3,66,44,57,0
Lentil,26,64,7,0,0,13
Soyabean,27,12,47,0,68,0
Soyabean,14,14,0,6,66,40
Arhar/Tur,13,77,14,7,3,26
Arhar/Tur,9,33,26,11,47,14
Lentil,12,31,17,8,29,3
Lentil,3,40,14,17,20,6
Arhar/Tur,9,109,43,11,0,0
Sugarcane,337,125,2,0,0,58
Cotton,111,67,12,9,0,48
Groundnut,31,13,54,0,47,0
Sugarcane,162,85,79,113,0,0
Lentil,12,6,12,8,54,8
Gram,10,63,2,10,0,18
Gram,3,60,1,17,0,19
Potato,88,23,161,62,57,0
Cotton,50,82,80,70,0,0
Maize,208,48,44,0,27,6
Soyabean,6,51,34,14,29,6
Maize,188,96,31,0,0,19
Arhar/Tur,19,34,30,1,46,10
Lentil,22,75,14,0,0,6
Sugarcane,262,106,1,13,0,59
Wheat,10,12,55,110,48,0
Lentil,12,23,2,8,37,18
Arhar/Tur,24,81,3,0,0,37
Mustard,7,49,56,73,0,0
Paddy,131,27,19,0,33,41
Potato,220,12,128,0,68,0
Soyabean,8,48,41,12,32,0
Arhar/Tur,26,107,38,0,0,2
Paddy,82,26,2,38,34,58
Wheat,90,47,33,30,13,7
Lentil,16,67,4,4,0,16
Gram,18,24,11,2,36,9
Wheat,107,76,54,13,0,0
Wheat,123,61,16,0,0,24
Paddy,0,65,5,120,0,55
Maize,164,21,13,0,54,37
Paddy,49,66,76,71,0,0
Lentil,10,1,6,10,59,14
Mustard,87,31,20,0,9,20
Lentil,6,24,23,14,36,0
Paddy,52,42,56,68,18,4
Mustard,12,20,4,68,20,36
Sugarcane,219,15,64,56,70,0
Wheat,126,26,8,0,34,32
Sugarcane,37,119,66,238,0,0
Paddy,88,57,51,32,3,9
Cotton,77,86,64,43,0,0
Potato,78,44,171,72,36,0
Sugarcane,395,27,44,0,58,16
Maize,141,53,56,9,22,0
Sugarcane,193,106,43,82,0,17
Mustard,118,17,58,0,23,0
Arhar/Tur,4,49,25,16,31,15
Arhar/Tur,3,1,21,17,79,19
Arhar/Tur,23,103,41,0,0,0
Lentil,15,28,19,5,32,1
Groundnut,13,58,32,12,2,8
Paddy,57,80,4,63,0,56
Soyabean,7,102,40,13,0,0
Soyabean,23,13,12,0,67,28
Soyabean,29,70,41,0,10,0
Arhar/Tur,13,17,20,7,63,20
Maize,14,67,66,136,8,0
Wheat,45,69,54,75,0,0
Soyabean,16,16,8,4,64,32
Lentil,2,27,27,18,33,0
Paddy,175,47,62,0,13,0
Wheat,3,1,5,117,59,35
Gram,28,50,29,0,10,0
Gram,7,1,2,13,59,18
Wheat,40,19,58,80,41,0
Cotton,77,46,10,43,14,50
Soyabean,22,76,7,0,4,33
Groundnut,34,63,34,0,0,6
Soyabean,3,13,53,17,67,0
Mustard,4,52,15,76,0,25
Lentil,25,67,13,0,0,7
Soyabean,13,97,0,7,0,40
Lentil,11,31,5,9,29,15
Lentil,13,31,15,7,29,5
Mustard,61,44,55,19,0,0
Groundnut,4,55,45,21,5,0
Groundnut,20,30,21,5,30,19
Mustard,30,7,37,50,33,3
Sugarcane,207,39,32,68,46,28
Maize,128,6,58,22,69,0
Groundnut,29,22,45,0,38,0
Potato,64,73,44,86,7,76
Gram,7,50,15,13,10,5
Lentil,1,13,15,19,47,5
Maize,108,23,34,42,52,16
Paddy,113,78,67,7,0,0
Wheat,47,4,31,73,56,9
Cotton,105,69,13,15,0,47
Wheat,91,40,8,29,20,32
Soyabean,28,60,20,0,20,20
Mustard,17,26,27,63,14,13
Maize,166,67,8,0,8,42
Lentil,20,65,29,0,0,0
Soyabean,11,52,52,9,28,0
Lentil,18,41,3,2,19,17
Paddy,115,12,11,5,48,49
Soyabean,22,96,18,0,0,22
Wheat,79,64,33,41,0,7
Potato,149,77,168,1,3,0
Paddy,144,19,3,0,41,57
Sugarcane,60,51,79,215,34,0
Wheat,46,41,56,74,19,0
Maize,116,30,36,34,45,14
Arhar/Tur,24,68,32,0,12,8
Cotton,121,67,10,0,0,50
Maize,114,25,24,36,50,26
Lentil,7,60,16,13,0,4
Paddy,117,11,36,3,49,24
Soyabean,21,77,1,0,3,39
Mustard,7,59,19,73,0,21
Cotton,17,23,87,103,37,0
Mustard,45,11,37,35,29,3
Paddy,177,61,40,0,0,20
Sugarcane,276,0,43,0,85,17
Sugarcane,367,95,77,0,0,0
Soyabean,15,111,11,5,0,29
Arhar/Tur,26,7,26,0,73,14
Wheat,14,50,15,106,10,25
Groundnut,35,76,6,0,0,34
Gram,14,25,24,6,35,0
Groundnut,16,75,7,9,0,33
Gram,2,6,19,18,54,1
Mustard,102,59,39,0,0,1
Mustard,108,4,35,0,36,5
Paddy,93,11,86,27,49,0
Maize,78,97,26,72,0,24
Gram,18,56,10,2,4,10
Maize,51,103,2,99,0,48
Arhar/Tur,27,94,3,0,0,37
Mustard,59,15,22,21,25,18
Potato,63,21,67,87,59,53
Groundnut,36,32,46,0,28,0
Sugarcane,116,119,61,159,0,0
Lentil,4,85,2,16,0,18
Maize,62,11,37,88,64,13
Groundnut,29,12,30,0,48,10
Mustard,94,32,37,0,8,3
Potato,59,37,71,91,43,49
Lentil,16,78,15,4,0,5
Wheat,98,48,53,22,12,0
Wheat,107,70,27,13,0,13
Sugarcane,210,126,26,65,0,34
Lentil,3,19,8,17,41,12
Gram,29,32,11,0,28,9
Wheat,77,41,1,43,19,39
Wheat,67,18,34,53,42,6
Gram,6,31,0,14,29,20
Potato,81,79,158,69,1,0
Mustard,24,56,19,56,0,21
Wheat,70,41,6,50,19,34
Sugarcane,392,115,9,0,0,51
Groundnut,21,43,48,4,17,0
Soyabean,8,65,34,12,15,6
Arhar/Tur,2,40,39,18,40,1
Groundnut,14,42,9,11,18,31
Lentil,19,34,0,1,26,20
Potato,34,106,73,116,0,47
Wheat,56,24,22,64,36,18
Soyabean,12,93,7,8,0,33
Wheat,27,76,55,93,0,0
Soyabean,24,98,29,0,0,11
Lentil,3,31,19,17,29,1
Gram,6,25,29,14,35,0
Potato,181,71,172,0,9,0
Sugarcane,256,74,81,19,11,0
Gram,20,17,10,0,43,10
Wheat,118,63,45,2,0,0
Arhar/Tur,14,62,31,6,18,9
Lentil,17,26,3,3,34,17
Gram,14,89,21,6,0,0
Maize,201,67,24,0,8,26
Maize,99,60,24,51,15,26
Gram,24,5,28,0,55,0
Cotton,140,39,87,0,21,0
Potato,136,76,36,14,4,84
Wheat,20,69,8,100,0,32
Gram,24,41,4,0,19,16
Cotton,138,72,59,0,0,1
Groundnut,17,12,21,8,48,19
Mustard,13,24,34,67,16,6
Sugarcane,198,47,71,77,38,0
Wheat,30,55,42,90,5,0
Lentil,4,80,10,16,0,10
Sugarcane,26,8,62,249,77,0
Soyabean,20,106,40,0,0,0
Potato,78,28,69,72,52,51
Mustard,85,45,7,0,0,33
Sugarcane,232,93,67,43,0,0
Sugarcane,297,29,44,0,56,16
Mustard,77,53,46,3,0,0
Sugarcane,148,122,85,127,0,0
Groundnut,9,37,19,16,23,21
Gram,11,18,16,9,42,4
Lentil,17,20,7,3,40,13
Lentil,4,22,14,16,38,6
Groundnut,25,76,48,0,0,0
Maize,122,42,3,28,33,47
Wheat,12,39,57,108,21,0
Gram,12,81,13,8,0,7
Gram,12,88,10,8,0,10
Soyabean,1,50,40,19,30,0
Gram,29,15,28,0,45,0
Arhar/Tur,18,109,16,2,0,24
Arhar/Tur,6,21,30,14,59,10
Gram,12,88,7,8,0,13
Arhar/Tur,4,50,25,16,30,15
Lentil,8,58,11,12,2,9
Lentil,26,8,16,0,52,4
Gram,4,20,17,16,40,3
Cotton,70,76,62,50,0,0
Groundnut,15,11,28,10,49,12
Mustard,47,17,27,33,23,13
Gram,11,21,11,9,39,9
Mustard,102,48,36,0,0,4
Paddy,41,8,60,79,52,0
Potato,43,103,30,107,0,90
Arhar/Tur,12,108,42,8,0,0
Wheat,10,30,29,110,30,11
Paddy,7,73,85,113,0,0
Wheat,60,12,5,60,48,35
Arhar/Tur,18,77,35,2,3,5
Maize,22,77,74,128,0,0
Groundnut,28,40,55,0,20,0
Gram,29,46,0,0,14,20
